Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Revenue;Cost of Revenue;Gross Profit;Operating Expenses;Selling, General & Administrative;Research & Development;Depreciation & Amortization;Operating Income (Loss);Non-Operating Income (Loss);Interest Expense, Net;Pretax Income (Loss), Adj.;Abnormal Gains (Losses);Pretax Income (Loss);Income Tax (Expense) Benefit, Net;Income (Loss) from Continuing Operations;Net Extraordinary Gains (Losses);Net Income;Net Income (Common)
AAN;441241;USD;2020;FY;2020-12-31;2021-02-23;2023-03-01;33877000;33877000;1734919000;-651377000;1083542000;-894417724;-476575000;;;187904726;-7697000;-10006000;-397730852;-565342000;-397814000;131902000;-265912000;;-265912000;-265912000
AAN;441241;USD;2021;FY;2021-12-31;2022-02-24;2024-02-29;32485000;33188000;1845504000;-686015000;1159489000;-911690858;-739571689;;;246236302;121000;-22517305;145535511;-83838000;145870000;-35936000;109934000;;109934000;109934000
AAN;441241;USD;2022;FY;2022-12-31;2023-03-01;2024-02-29;30881000;30881000;2249434000;-1087661000;1161773000;-985240331;-785746481;;;176261681;-12195000;-40878009;-14735740;-159034000;-14743000;9463000;-5280000;;-5280000;-5280000
AAN;441241;USD;2023;FY;2023-12-31;2024-02-29;2024-02-29;30778000;31105000;2139890000;-1020571000;1119319000;-981842944;-793303714;;;137873617;-13608000;-48974235;-1056859;-100931000;-1058000;3881000;2823000;;2823000;2823000
AAOI;671827;USD;2019;FY;2019-12-31;2020-02-28;2022-02-24;19982363;19982363;190872000;-144671000;46201000;-94948000;-51549000;-43399000;;-48747000;-2640000;-4480000;-51387000;;-51387000;-14662000;-66049000;;-66049000;-66049000
AAOI;671827;USD;2020;FY;2020-12-31;2021-02-25;2023-02-27;21866630;21866630;234623000;-184082000;50541000;-99383000;-55990000;-43393000;;-48842000;-2382000;-5380000;-51224000;;-51224000;-7228000;-58452000;;-58452000;-58452000
AAOI;671827;USD;2021;FY;2021-12-31;2022-02-24;2024-02-23;27097372;27097372;211565000;-173850000;37715000;-94481000;-53261000;-41220000;;-56766000;2606000;-5550000;-54160000;;-54160000;-2000;-54162000;;-54162000;-54162000
AAOI;671827;USD;2022;FY;2022-12-31;2023-02-27;2024-02-23;27846387;27846387;222818000;-189191000;33627000;-92625000;-56381000;-36244000;;-58998000;-7398000;-6193000;-66396000;;-66396000;-1000;-66397000;;-66397000;-66397000
AAOI;671827;USD;2023;FY;2023-12-31;2024-02-23;2024-02-23;31944259;31944259;217646000;-158725000;58921000;-100270000;-64295000;-35975000;;-41349000;-14690000;-8819000;-56039000;;-56039000;-9000;-56048000;;-56048000;-56048000
AAON;919501;USD;2019;FY;2019-12-31;2020-02-27;2022-02-28;78119798;78953123;469333000;-349908000;119425000;-52077000;-52077000;;;67348000;20000;66000;67368000;-337000;67031000;-13320000;53711000;;53711000;53711000
AAON;919501;USD;2020;FY;2020-12-31;2021-02-25;2023-02-27;78253019;79591754;514551000;-358702000;155849000;-60491000;-60491000;;;95358000;139000;88000;95497000;6478000;101975000;-22966000;79009000;;79009000;79009000
AAON;919501;USD;2021;FY;2021-12-31;2022-02-28;2024-02-28;78631067;80319770;534517000;-396687000;137830000;-68598000;-68598000;;;69232000;-71000;-132000;69161000;21000;69182000;-10424000;58758000;;58758000;58758000
AAON;919501;USD;2022;FY;2022-12-31;2023-02-27;2024-02-28;79582479;81145608;888788000;-651216000;237572000;-110823000;-110823000;;;126749000;-2228000;-2627000;124521000;12000;124533000;-24157000;100376000;;100376000;100376000
AAON;919501;USD;2023;FY;2023-12-31;2024-02-28;2024-02-28;81156114;83295290;1168518000;-769498000;399020000;-171539000;-171539000;;;227481000;-4340000;-4843000;223141000;13000;223154000;-45531000;177623000;;177623000;177623000
AAP;184955;USD;2019;FY;2019-12-31;2020-02-18;2022-02-15;70869000;71165000;9709003000;-5454257000;4254746000;-3577566000;-3577566000;;;677180000;-28678000;-39898000;648502000;-10756000;637746000;-150850000;486896000;;486896000;486896000
AAP;184955;USD;2020;FY;2020-12-31;2021-02-22;2023-02-28;68748000;69003000;10106321000;-5624707000;4481614000;-3731707000;-3731707000;;;749907000;-50870000;-46886000;699037000;-48022000;651015000;-157994000;493021000;;493021000;493021000
AAP;184955;USD;2021;FY;2021-12-31;2022-02-15;2024-03-12;62854000;63348000;10997989000;-6074039000;4923950000;-4101585000;-4101585000;;;822365000;-39872000;-37791000;782493000;;782493000;-185878000;596615000;;596615000;596615000
AAP;184955;USD;2022;FY;2022-12-31;2023-02-28;2024-03-12;60351000;60717000;11154722000;-6222487000;4932235000;-4261982000;-4261982000;;;670253000;-58483000;-51060000;611770000;-7408000;604362000;-139960000;464402000;;464402000;464402000
AAP;184955;USD;2023;FY;2023-12-31;2024-03-12;2024-03-12;59432000;59608000;11287607000;-6764105000;4523502000;-4409125000;-4409125000;;;114377000;-82530000;-88055000;31847000;;31847000;-2112000;29735000;;29735000;29735000
AAPL;111052;USD;2019;FY;2019-09-30;2019-10-31;2021-10-29;18471336000;18595652000;260174000000;-161782000000;98392000000;-34462000000;-18245000000;-16217000000;;63930000000;1807000000;;65737000000;;65737000000;-10481000000;55256000000;;55256000000;55256000000
